step,epoch,loss,eval_loss,mean_token_accuracy,eval_mean_token_accuracy,entropy,eval_entropy,grad_norm,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,num_tokens,eval_num_tokens,train_loss
20,0.09791921664626684,0.0,,0.0,,1.0523287527263165,,0.0,3.653846153846154e-05,,,,,,,,177921.0,,
40,0.19583843329253367,0.0,,0.0,,1.0775415644049644,,0.0,7.500000000000001e-05,,,,,,,,350390.0,,
60,0.2937576499388005,0.0,,0.0,,1.043596526235342,,0.0,9.99872299773906e-05,,,,,,,,531449.0,,
80,0.39167686658506734,0.0,,0.0,,1.0221793472766876,,0.0,9.981012554563904e-05,,,,,,,,717535.0,,
100,0.48959608323133413,0.0,,0.0,,1.0428785368800164,,0.0,9.942538601422635e-05,,,,,,,,903490.0,,
100,0.48959608323133413,,nan,,0.0,,1.2738075406996758,,,30.1442,24.117,3.019,,,,,,903490.0,
120,0.587515299877601,0.0,,0.0,,1.0725758887827397,,0.0,9.883461518218083e-05,,,,,,,,1076546.0,,
140,0.6854345165238678,0.0,,0.0,,1.048503614217043,,0.0,9.804027569658967e-05,,,,,,,,1255256.0,,
160,0.7833537331701347,0.0,,0.0,,1.047282661497593,,0.0,9.704567878697594e-05,,,,,,,,1432206.0,,
180,0.8812729498164015,0.0,,0.0,,1.0627228707075118,,0.0,9.58549704623326e-05,,,,,,,,1607435.0,,
200,0.9791921664626683,0.0,,0.0,,1.0673664420843125,,0.0,9.447311422835142e-05,,,,,,,,1783492.0,,
200,0.9791921664626683,,nan,,0.0,,1.2738075406996758,,,30.1278,24.131,3.02,,,,,,1783492.0,
220,1.0734394124847002,0.0,,0.0,,1.0489625799191462,,0.0,9.290587039689099e-05,,,,,,,,1958799.0,,
240,1.171358629130967,0.0,,0.0,,1.0226980984210967,,0.0,9.115977207393281e-05,,,,,,,,2142989.0,,
260,1.2692778457772338,0.0,,0.0,,1.086087665706873,,0.0,8.924209792612008e-05,,,,,,,,2311153.0,,
280,1.3671970624235006,0.0,,0.0,,1.0579464338719844,,0.0,8.716084183940348e-05,,,,,,,,2487125.0,,
300,1.4651162790697674,0.0,,0.0,,1.0363186351954936,,0.0,8.492467959627204e-05,,,,,,,,2666979.0,,
300,1.4651162790697674,,nan,,0.0,,1.2738075406996758,,,30.1421,24.119,3.019,,,,,,2666979.0,
320,1.5630354957160342,0.0,,0.0,,1.0320235274732112,,0.0,8.254293271047671e-05,,,,,,,,2849754.0,,
340,1.660954712362301,0.0,,0.0,,1.0619120851159096,,0.0,8.002552957000254e-05,,,,,,,,3026545.0,,
360,1.758873929008568,0.0,,0.0,,1.049558939039707,,0.0,7.738296405026606e-05,,,,,,,,3205875.0,,
380,1.8567931456548348,0.0,,0.0,,1.063916166126728,,0.0,7.462625177006049e-05,,,,,,,,3384767.0,,
400,1.9547123623011016,0.0,,0.0,,1.0673661276698112,,0.0,7.176688417259675e-05,,,,,,,,3561080.0,,
400,1.9547123623011016,,nan,,0.0,,1.2738075406996758,,,30.1303,24.128,3.02,,,,,,3561080.0,
420,2.0489596083231336,0.0,,0.0,,1.0264350911239526,,0.0,6.881678062305537e-05,,,,,,,,3737600.0,,
440,2.1468788249694004,0.0,,0.0,,1.0991272740066051,,0.0,6.5788238722332e-05,,,,,,,,3906318.0,,
460,2.244798041615667,0.0,,0.0,,1.0506502076983453,,0.0,6.2693883044095e-05,,,,,,,,4081428.0,,
480,2.342717258261934,0.0,,0.0,,1.050953809916973,,0.0,5.954661250884703e-05,,,,,,,,4261369.0,,
500,2.440636474908201,0.0,,0.0,,1.038348288834095,,0.0,5.635954661436261e-05,,,,,,,,4439276.0,,
500,2.440636474908201,,nan,,0.0,,1.2738075406996758,,,30.1415,24.12,3.019,,,,,,4439276.0,
520,2.5385556915544676,0.0,,0.0,,1.0266667403280736,,0.0,5.3145970746642684e-05,,,,,,,,4624080.0,,
540,2.6364749082007344,0.0,,0.0,,1.0389859437942506,,0.0,4.9919280799358504e-05,,,,,,,,4803315.0,,
560,2.734394124847001,0.0,,0.0,,1.0756920583546161,,0.0,4.669292733264102e-05,,,,,,,,4977000.0,,
580,2.832313341493268,0.0,,0.0,,1.0395662665367127,,0.0,4.3480359503991115e-05,,,,,,,,5160474.0,,
600,2.9302325581395348,0.0,,0.0,,1.0318864323198795,,0.0,4.029496900503703e-05,,,,,,,,5346068.0,,
600,2.9302325581395348,,nan,,0.0,,1.2738075406996758,,,30.2976,23.995,3.004,,,,,,5346068.0,
620,3.0244798041615666,0.0,,0.0,,1.073983468018569,,0.0,3.715003423783986e-05,,,,,,,,5512653.0,,
640,3.1223990208078334,0.0,,0.0,,1.023962454497814,,0.0,3.4058664963450465e-05,,,,,,,,5694673.0,,
660,3.2203182374541,0.0,,0.0,,1.0668726570904254,,0.0,3.103374765345156e-05,,,,,,,,5869968.0,,
680,3.318237454100367,0.0,,0.0,,1.0356693409383297,,0.0,2.808789177228934e-05,,,,,,,,6054272.0,,
700,3.416156670746634,0.0,,0.0,,1.0528942376375199,,0.0,2.5233377214318087e-05,,,,,,,,6232201.0,,
700,3.416156670746634,,nan,,0.0,,1.2738075406996758,,,30.1301,24.129,3.02,,,,,,6232201.0,
720,3.514075887392901,0.0,,0.0,,1.0598723880946637,,0.0,2.2482103114668174e-05,,,,,,,,6409679.0,,
740,3.611995104039168,0.0,,0.0,,1.0758126974105835,,0.0,1.9845538247321127e-05,,,,,,,,6582450.0,,
760,3.7099143206854346,0.0,,0.0,,1.066709777712822,,0.0,1.7334673217158974e-05,,,,,,,,6759000.0,,
780,3.8078335373317014,0.0,,0.0,,1.018797440826893,,0.0,1.4959974645276548e-05,,,,,,,,6944779.0,,
800,3.905752753977968,0.0,,0.0,,1.0524833172559738,,0.0,1.273134153853714e-05,,,,,,,,7120939.0,,
800,3.905752753977968,,nan,,0.0,,1.2738075406996758,,,30.1459,24.116,3.019,,,,,,7120939.0,
820,4.0,0.0,,0.0,,1.053733386776664,,0.0,1.0658064025246129e-05,,,,,,,,7293472.0,,
840,4.097919216646267,0.0,,0.0,,1.0495121151208877,,0.0,8.748784628954348e-06,,,,,,,,7476367.0,,
860,4.195838433292534,0.0,,0.0,,1.0956641599535941,,0.0,7.011462241822525e-06,,,,,,,,7643448.0,,
880,4.293757649938801,0.0,,0.0,,1.080333226174116,,0.0,5.453338947725029e-06,,,,,,,,7817545.0,,
900,4.391676866585067,0.0,,0.0,,1.0738280512392522,,0.0,4.080909833391944e-06,,,,,,,,7989350.0,,
900,4.391676866585067,,nan,,0.0,,1.2738075406996758,,,30.1323,24.127,3.02,,,,,,7989350.0,
920,4.489596083231334,0.0,,0.0,,1.0269642695784569,,0.0,2.8998959134324657e-06,,,,,,,,8174598.0,,
940,4.587515299877601,0.0,,0.0,,1.0255636483430863,,0.0,1.915220282102731e-06,,,,,,,,8360263.0,,
960,4.685434516523868,0.0,,0.0,,1.0616083398461342,,0.0,1.1309875912301704e-06,,,,,,,,8536740.0,,
980,4.783353733170134,0.0,,0.0,,1.003666017204523,,0.0,5.504669398412043e-07,,,,,,,,8727951.0,,
1000,4.881272949816402,0.0,,0.0,,1.0886598065495492,,0.0,1.760782468175015e-07,,,,,,,,8897388.0,,
1000,4.881272949816402,,nan,,0.0,,1.2738075406996758,,,30.1415,24.12,3.019,,,,,,8897388.0,
1020,4.979192166462668,0.0,,0.0,,1.0457221671938897,,0.0,9.382163386822962e-09,,,,,,,,9078000.0,,
1025,5.0,,,0.0,,1.0156977877897375,,,,,,,8843.044,3.695,0.116,8.238376965256888e+17,9116840.0,,0.0
