step,epoch,loss,eval_loss,mean_token_accuracy,eval_mean_token_accuracy,entropy,eval_entropy,grad_norm,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,num_tokens,eval_num_tokens,train_loss
20,0.097799511002445,2.5019,,0.5015484228730201,,1.168393011391163,,2.9871654510498047,7.307692307692307e-05,,,,,,,,184775.0,,
40,0.19559902200489,0.5393,,0.8629239469766616,,1.0518649801611901,,1.9404971599578857,0.00015000000000000001,,,,,,,,374254.0,,
60,0.293398533007335,0.2992,,0.9280903846025467,,0.9445937171578407,,1.273762583732605,0.0001999744599547812,,,,,,,,556081.0,,
80,0.39119804400978,0.2541,,0.937379977107048,,0.926990556716919,,1.0231677293777466,0.00019962025109127808,,,,,,,,744853.0,,
100,0.4889975550122249,0.2104,,0.9429423391819001,,0.8996525928378105,,2.154562473297119,0.0001988507720284527,,,,,,,,920995.0,,
100,0.4889975550122249,,0.28629228472709656,,0.918819590755131,,0.9911258246587671,,,11.1713,65.077,4.118,,,,,,920995.0,
120,0.58679706601467,0.1992,,0.9449296653270721,,0.7945708841085434,,1.879675269126892,0.00019766923036436165,,,,,,,,1112855.0,,
140,0.684596577017115,0.1614,,0.9614230319857597,,0.7577245473861695,,0.28768548369407654,0.00019608055139317933,,,,,,,,1306012.0,,
160,0.78239608801956,0.1167,,0.96969825476408,,0.7541363194584847,,0.8809049725532532,0.0001940913575739519,,,,,,,,1499691.0,,
180,0.8801955990220048,0.1474,,0.9632788822054863,,0.8108709201216697,,0.6733313798904419,0.0001917099409246652,,,,,,,,1678370.0,,
200,0.9779951100244498,0.1551,,0.9621313363313675,,0.7981923133134842,,1.0382732152938843,0.00018894622845670283,,,,,,,,1859983.0,,
200,0.9779951100244498,,0.24120886623859406,,0.9314126475997593,,0.9863621294498444,,,11.0301,65.91,4.17,,,,,,1859983.0,
220,1.0733496332518337,0.1071,,0.973158597946167,,0.8097014457751543,,2.1443076133728027,0.00018581174079378198,,,,,,,,2041027.0,,
240,1.1711491442542787,0.106,,0.9731398820877075,,0.7861994624137878,,1.0753278732299805,0.00018231954414786562,,,,,,,,2228795.0,,
260,1.2689486552567237,0.0904,,0.9744368717074394,,0.8018585234880448,,0.35520029067993164,0.00017848419585224015,,,,,,,,2415516.0,,
280,1.3667481662591687,0.0674,,0.9842444077134133,,0.7276756763458252,,0.25892311334609985,0.00017432168367880697,,,,,,,,2608642.0,,
300,1.4645476772616137,0.0777,,0.9764743939042091,,0.6995064795017243,,0.29864364862442017,0.00016984935919254408,,,,,,,,2808738.0,,
300,1.4645476772616137,,0.24826452136039734,,0.9429013755010522,,0.8697044065465098,,,11.0266,65.931,4.172,,,,,,2808738.0,
320,1.5623471882640587,0.071,,0.9793344125151634,,0.7448155358433723,,0.7987210750579834,0.00016508586542095341,,,,,,,,2993549.0,,
340,1.6601466992665037,0.0683,,0.9774026826024056,,0.7496503248810769,,0.6682329773902893,0.00016005105914000507,,,,,,,,3179486.0,,
360,1.7579462102689487,0.0681,,0.9809473410248757,,0.7102900862693786,,0.1688094139099121,0.00015476592810053212,,,,,,,,3360702.0,,
380,1.8557457212713935,0.0682,,0.978908009827137,,0.6888987109065056,,0.5688799023628235,0.00014925250354012098,,,,,,,,3544479.0,,
400,1.9535452322738385,0.0817,,0.9736988574266434,,0.7315819874405861,,0.46353137493133545,0.0001435337683451935,,,,,,,,3719838.0,,
400,1.9535452322738385,,0.20918099582195282,,0.9539248736008353,,0.8761583100194517,,,11.0293,65.916,4.171,,,,,,3719838.0,
420,2.0488997555012225,0.0442,,0.981669694949419,,0.6655937112294711,,0.4843829870223999,0.00013763356124611075,,,,,,,,3901009.0,,
440,2.1466992665036675,0.0437,,0.9871181443333625,,0.611728148162365,,0.47418898344039917,0.000131576477444664,,,,,,,,4084325.0,,
460,2.2444987775061125,0.0372,,0.9888310834765435,,0.6153661541640758,,0.26285919547080994,0.00012538776608819,,,,,,,,4266964.0,,
480,2.3422982885085575,0.0373,,0.9869126006960869,,0.627796757221222,,0.2898145020008087,0.00011909322501769406,,,,,,,,4453518.0,,
500,2.4400977995110025,0.0375,,0.988609230518341,,0.6443087458610535,,0.11579647660255432,0.00011271909322872523,,,,,,,,4635996.0,,
500,2.4400977995110025,,0.20673169195652008,,0.9497057354968527,,0.7673537057379017,,,11.0088,66.038,4.178,,,,,,4635996.0,
520,2.5378973105134475,0.0218,,0.9918983906507493,,0.5869830444455146,,1.495460033416748,0.00010629194149328537,,,,,,,,4825915.0,,
540,2.6356968215158925,0.0358,,0.9887903049588204,,0.5834307178854943,,0.40062415599823,9.983856159871701e-05,,,,,,,,5018500.0,,
560,2.7334963325183375,0.0202,,0.9919613033533097,,0.582154744118452,,0.06754028797149658,9.338585466528204e-05,,,,,,,,5207617.0,,
580,2.8312958435207825,0.0369,,0.9864533543586731,,0.5809795334935188,,0.173036590218544,8.696071900798223e-05,,,,,,,,5388422.0,,
600,2.9290953545232274,0.0302,,0.9885407701134682,,0.6016578555107117,,0.6738306283950806,8.058993801007406e-05,,,,,,,,5576911.0,,
600,2.9290953545232274,,0.1969543993473053,,0.9507929449496062,,0.7656207518733066,,,11.065,65.702,4.157,,,,,,5576911.0,
620,3.0244498777506115,0.0253,,0.9894513044601831,,0.5890038257990128,,0.08008415997028351,7.430006847567972e-05,,,,,,,,5757999.0,,
640,3.122249388753056,0.0189,,0.9915587618947029,,0.5766400516033172,,0.251379132270813,6.811732992690093e-05,,,,,,,,5949470.0,,
660,3.220048899755501,0.0174,,0.9935620576143265,,0.5706959180533886,,0.26044559478759766,6.206749530690312e-05,,,,,,,,6131300.0,,
680,3.3178484107579465,0.0161,,0.9934103712439537,,0.5358753629028797,,0.5826022624969482,5.617578354457868e-05,,,,,,,,6325876.0,,
700,3.4156479217603914,0.0169,,0.9930044144392014,,0.5404629975557327,,0.08300909399986267,5.0466754428636175e-05,,,,,,,,6501418.0,,
700,3.4156479217603914,,0.21285785734653473,,0.9528737612392592,,0.6585754253294157,,,11.0041,66.066,4.18,,,,,,6501418.0,
720,3.5134474327628364,0.0218,,0.9910229325294495,,0.5093476980924606,,0.10181500762701035,4.496420622933635e-05,,,,,,,,6698349.0,,
740,3.6112469437652814,0.011,,0.9953107759356499,,0.5282375760376453,,0.06744924932718277,3.9691076494642255e-05,,,,,,,,6884292.0,,
760,3.7090464547677264,0.0118,,0.9937597021460534,,0.5010732255876065,,0.22371363639831543,3.466934643431795e-05,,,,,,,,7070519.0,,
780,3.8068459657701714,0.0174,,0.993483068048954,,0.5031799584627151,,0.0065868874080479145,2.9919949290553096e-05,,,,,,,,7254881.0,,
800,3.904645476772616,0.0137,,0.9918129310011864,,0.5094359628856182,,0.06451895833015442,2.546268307707428e-05,,,,,,,,7435842.0,,
800,3.904645476772616,,0.22014465928077698,,0.9558198037354843,,0.6359871930402258,,,10.9171,66.593,4.214,,,,,,7435842.0,
820,4.0,0.017,,0.9921818192188556,,0.505798434599852,,0.04860415309667587,2.1316128050492258e-05,,,,,,,,7612244.0,,
840,4.097799511002445,0.0111,,0.9937165960669517,,0.49684800356626513,,0.08516091108322144,1.7497569257908697e-05,,,,,,,,7800068.0,,
860,4.19559902200489,0.0115,,0.9943354666233063,,0.5077149122953415,,0.14319878816604614,1.402292448364505e-05,,,,,,,,7981109.0,,
880,4.293398533007335,0.0071,,0.9958384990692138,,0.4866219699382782,,0.017839031293988228,1.0906677895450057e-05,,,,,,,,8172203.0,,
900,4.39119804400978,0.0094,,0.9965529784560203,,0.48147199377417566,,0.18183140456676483,8.161819666783888e-06,,,,,,,,8362344.0,,
900,4.39119804400978,,0.2125488668680191,,0.9589562454949254,,0.618336114546527,,,11.0401,65.851,4.167,,,,,,8362344.0,
920,4.488997555012225,0.01,,0.9954703256487847,,0.4786325991153717,,0.30787932872772217,5.799791826864931e-06,,,,,,,,8551141.0,,
940,4.58679706601467,0.0092,,0.9948786646127701,,0.4839083358645439,,0.05480882152915001,3.830440564205462e-06,,,,,,,,8732728.0,,
960,4.684596577017115,0.0092,,0.994769760966301,,0.48257954642176626,,0.1295049786567688,2.261975182460341e-06,,,,,,,,8916963.0,,
980,4.78239608801956,0.0072,,0.9955161064863205,,0.4717422157526016,,0.10201234370470047,1.1009338796824086e-06,,,,,,,,9107142.0,,
1000,4.880195599022005,0.0105,,0.9947335928678512,,0.4625141084194183,,0.11665183305740356,3.52156493635003e-07,,,,,,,,9301615.0,,
1000,4.880195599022005,,0.21615374088287354,,0.958263714676318,,0.6092499215965685,,,11.0061,66.054,4.179,,,,,,9301615.0,
1020,4.97799511002445,0.0112,,0.9938201397657395,,0.4981731943786144,,0.01875385269522667,1.8764326773645923e-08,,,,,,,,9479550.0,,
1025,5.0,,,,,,,,,,,,4298.1893,7.602,0.238,2.0368284445114368e+17,,,0.11748571496184279
